Event 1,,,,,,,,,,,,,,Length Strata (values set on the KS Input tab),,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big
1,95,,5,3/10/2025,,20409,555,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,96,,6,3/10/2025,,20346,557,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,97,,6,3/10/2025,,20347,798,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,98,,6,3/10/2025,,20348,751,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,99,,6,3/10/2025,,20349,559,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,100,,6,3/10/2025,,20350,696,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,101,,6,3/10/2025,,20351,749,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,102,,6,3/10/2025,,20352,623,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,103,,6,3/10/2025,,20353,902,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,104,,6,3/10/2025,,20354,964,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,105,,6,3/10/2025,,20355,544,,CROA,RM 0-1,64.9845,-148.8857,,,,
1,106,,6,3/10/2025,,20356,674,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,107,,6,3/10/2025,,20357,727,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,108,,6,3/10/2025,,20358,830,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,109,,6,3/10/2025,,20359,839,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,110,,6,3/10/2025,,20360,735,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,111,,6,3/10/2025,,20361,564,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,112,,6,3/10/2025,,20362,634,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,113,,6,3/10/2025,,20363,681,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,114,,7,3/10/2025,,20249,696,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,115,,7,3/10/2025,,20248,705,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,116,,7,3/10/2025,,20247,982,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,117,,7,3/10/2025,,20226,847,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,118,,7,3/10/2025,,20227,700,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,119,,7,3/10/2025,,20228,654,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,120,,7,3/10/2025,,20229,792,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,121,,7,3/10/2025,,20230,990,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,122,,7,3/10/2025,,20231,771,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,123,,7,3/10/2025,,20232,656,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,124,,7,3/10/2025,,20234,926,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,125,,7,3/10/2025,,20235,592,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,126,,7,3/10/2025,,20236,971,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,127,,7,3/10/2025,,20237,647,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,128,,7,3/10/2025,,20238,833,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,129,,7,3/10/2025,,20239,785,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,130,,7,3/10/2025,,20240,681,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,131,,7,3/10/2025,,20241,603,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,132,,7,3/10/2025,,20242,776,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,133,,7,3/10/2025,,20243,970,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,134,,8,3/10/2025,,20244,656,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,135,,8,3/10/2025,,20245,747,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,136,,8,3/10/2025,,20246,680,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,137,,8,3/10/2025,,20201,633,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,138,,8,3/10/2025,,20204,707,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,139,,8,3/10/2025,,20205,621,,CROA,RM 0-1,64.9845,-148.8857,radiotagged,yes,yes,
1,140,,8,3/10/2025,,20206,686,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,141,,8,3/10/2025,,20207,623,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,142,,8,3/10/2025,,20208,697,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,143,,8,3/10/2025,,20210,795,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,144,,8,3/10/2025,,20211,933,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,145,,8,3/10/2025,,20212,546,,CROA,RM 0-1,64.9845,-148.8857,,,,
1,146,,8,3/10/2025,,20213,660,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,147,,8,3/10/2025,,20214,883,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,148,,8,3/10/2025,,20215,650,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,149,,8,3/10/2025,,20216,820,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,150,,8,3/10/2025,,20217,838,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,151,,8,3/10/2025,,20218,620,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,152,,8,3/10/2025,,20219,920,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,153,,8,3/10/2025,,20220,884,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,154,,9,3/10/2025,,20221,595,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,155,,9,3/10/2025,,20222,535,,CROA,RM 0-1,64.9845,-148.8857,,,,
1,156,,9,3/10/2025,,20223,669,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,157,,9,3/10/2025,,20224,660,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,158,,9,3/10/2025,,20404,532,,CROA,RM 0-1,64.9845,-148.8857,"changed tag #, old tag #=20204",,,
1,159,,9,3/10/2025,,20276,610,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,160,,9,3/10/2025,,20277,715,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,161,,9,3/10/2025,,20278,577,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,162,,9,3/10/2025,,20406,654,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,163,,9,3/10/2025,,20280,1013,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,164,,9,3/10/2025,,20281,568,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,165,,9,3/10/2025,,20282,648,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,166,,9,3/10/2025,,20283,674,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,167,,10,3/10/2025,,20001,620,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,168,,10,3/10/2025,,16366,937,,CROA,RM 0-1,64.9845,-148.8857,2018 recap,yes,,yes
1,169,,10,3/10/2025,,20002,668,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,170,,10,3/10/2025,,20003,805,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,171,,10,3/10/2025,,20004,800,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
